zip,name,city,state,latitude,longitude,region,county,ugc_codes,cwa
99564,Chignik Bay Seaplane Base,Chignik,AK,56.2955556,-158.4013889,Alaska,Lake and Peninsula Borough,,
36542,Jack Edwards Airport,Gulf Shores,AL,30.2893408,-87.6662457,Southeast,,,
72206,Bill and Hillary Clinton National Airport/Adams Field,Little Rock,AR,34.7306912,-92.2220561,South Central,Pulaski County,,
85236,Mesa Gateway Airport,Mesa,AZ,33.3055341,-111.6568817,Southwest,Maricopa County,,
94038,Half Moon Bay Airport,Seal Cove,CA,37.5140645,-122.4990896,West,San Mateo County,,
81637,Eagle County Regional Airport,Gypsum,CO,39.6424722,-106.915194,Mountain,Eagle County,,
32780,Space Coast Regional Airport,Titusville,FL,28.5142066,-80.7990149,Southeast,Brevard County,,
31295,Macon Downtown Airport,Macon,GA,32.8225202,-83.5630743,Southeast,Bibb County,,
96720,Hilo International Airport,Hilo,HI,19.7191426,-155.0449891,Pacific,Hawaiʻi County,,
50049,Knoxville Municipal Airport,Knoxville,IA,41.2988858,-93.1138156,Midwest,Marion County,,
83460,Rexburg–Madison County Airport,Rexburg,ID,43.833607,-111.8057658,Mountain,Madison County,,
60087,Waukegan National Airport,Waukegan,IL,42.4207145,-87.8664419,Midwest,Lake County,,
46383,Porter County Regional Airport,Valparaiso,IN,41.4569236,-87.0065499,Midwest,Porter County,,
66027,Sherman Army Airfield,Leavenworth,KS,39.3666877,-94.9139803,Midwest,Leavenworth County,,
42103,Bowling Green-Warren County Regional Airport,Bowling Green,KY,36.9681126,-86.4193174,Southeast,Warren County,,
70509,Lafayette Regional Airport,Lafayette,LA,30.2031798,-91.9885072,South Central,Lafayette Parish,,
02746,New Bedford Regional Airport,New Bedford,MA,41.6768536,-70.9576866,Northeast,Bristol County,,
21037,Lee Airport,Edgewater,MD,38.9419874,-76.568523,Mid-Atlantic,Anne Arundel County,,
04005,Biddeford Municipal,Biddeford,ME,43.4644283,-70.4719493,Northeast,York County,,
49441,Muskegon County Airport,Norton Shores,MI,43.1703365,-86.2370531,Midwest,Muskegon County,,
56283,Redwood Falls Municipal Airport,Redwood Falls,MN,44.5469043,-95.0824972,Midwest,Redwood County,,
64683,Trenton Municipal Airport,Trenton,MO,40.0834849,-93.5921136,Midwest,Grundy County,,
39401,Hattiesburg Bobby L. Chain Municipal Airport,Hattiesburg,MS,31.2635434,-89.251014,Southeast,Forrest County,,
59105,Billings Logan International Airport,Billings,MT,45.809193,-108.5392574,Mountain,Yellowstone County,,
28383,Adams Airport,Rowland,NC,34.5767928,-79.248699,Southeast,,,
58075,Breckenridge-Wahpeton Interstate Airport,Wahpeton,ND,46.2453402,-96.6072966,Midwest,Richland County,,
68847,Kearney Regional Airport,Kearney,NE,40.7272187,-99.0022721,Midwest,,,
03305,Concord Municipal Airport,Concord,NH,43.1992424,-71.501526,Northeast,Merrimack County,,
08242,Cape May County Airport,Villas,NJ,39.0080873,-74.9080999,Mid-Atlantic,Cape May County,,
87301,Gallup Municipal Airport,Gallup,NM,35.5121172,-108.787974,Southwest,,,
89018,Creech Air Force Base,Creech AFB,NV,36.5889641,-115.6795397,West,,,
14437,Dansville Municipal Airport,Cumminsville,NY,42.5708997,-77.7124956,Mid-Atlantic,Livingston County,,
45014,Butler County Regional Airport,Hamilton,OH,39.3639161,-84.5218124,Midwest,,,
74953,Robert S Kerr Airport,Poteau,OK,35.019388,-94.6203052,South Central,LeFlore County,,
97146,Astoria Regional Airport,Warrenton,OR,46.1563192,-123.8787751,West,Clatsop County,,
16025,Waltman Airport,Donegal Township,PA,40.9261016,-79.7387747,Mid-Atlantic,Butler County,,
02807,Block Island State Airport,New Shoreham,RI,41.1682502,-71.5774177,Northeast,,,
29153,Sumter Municipal Airport,Sumter,SC,33.9948779,-80.3611915,Southeast,Sumter County,,
37160,Bomar Field-Shelbyville Municipal Airport,Shelbyville,TN,35.5598001,-86.4425961,Southeast,Bedford County,,
76234,Allison Farm Airport,Decatur,TX,33.2399045,-97.4284091,South Central,,,
84536,Monument Valley Airport,Oljeto (Moonlight Water),UT,37.0160744,-110.2007401,Mountain,San Juan County,,
23250,Richmond International Airport,Richmond,VA,37.5069066,-77.320208,Mid-Atlantic,,,
05851,Caledonia County Airport,Lyndonville,VT,44.5679747,-72.0174786,Northeast,,,
98243,Deer Harbor/DHB Seaplane Base,Deer Harbor,WA,48.6209117,-123.0032063,West,San Juan County,,
53566,Hughes Airport,Monroe,WI,42.6244993,-89.7685299,Midwest,,,
26508,Morgantown Municipal Airport,Easton,WV,39.6428304,-79.9160919,Mid-Atlantic,Monongalia County,,
82224,Torrington Municipal Airport,Torrington,WY,42.0662471,-104.153924,Mountain,Goshen County,,
99553,Akutan Seaplane Base,Akutan,AK,54.1341069,-165.7781991,Alaska,Aleutians East Borough,,
35906,Northeast Alabama Regional Airport,Gadsden,AL,33.9714257,-86.0930953,Southeast,Etowah County,,
72316,Blytheville Municipal Airport,Blytheville,AR,35.9384055,-89.8313138,South Central,Mississippi County,,
