zip,name,city,state,latitude,longitude,region,county,ugc_codes,cwa
33523,Joy-Lan Drive In,Dade City,FL,28.3971436,-82.1945223,Southeast,,,
35653,King Drive-in,Russellville,AL,34.5514954,-87.6922077,Southeast,,,
22655,Family Drive In Theater,Stephens City,VA,39.0703887,-78.233298,Mid-Atlantic,,,
44680,Lynn Drive-In Movies,Strasburg,OH,40.6244916,-81.5439499,Midwest,,,
97862,M-F Drive-In,Milton-Freewater,OR,45.9624854,-118.3885404,West,,,
25986,Meadow Bridge Drive-In,Meadow Bridge,WV,37.847673,-80.851415,Mid-Atlantic,Summers County,,
57362,Midway Drive-In,Miller,SD,44.5166172,-98.9621047,Midwest,,,
17048,Sky-Vu Drive-In,Gratz,PA,40.61314,-76.6979946,Mid-Atlantic,,,
01756,Mendon Twin Drive-in,Mendon,MA,42.1123617,-71.547017,Northeast,,,
44203,Magic City Drive-In,Barberton,OH,40.9863074,-81.6353499,Midwest,,,
47960,Lake Shore Drive-In,Monticello,IN,40.7679571,-86.7718229,Midwest,,,
95453,Lakeport Auto Movies,Lakeport,CA,39.0161685,-122.9080258,West,,,
33461,Lake Worth Drive-In,Lake Worth,FL,26.6163352,-80.0963086,Southeast,,,
83276,Idan-ha Drive-In,Soda Springs,ID,42.6563262,-111.6089083,Mountain,Caribou County,,
47394,Hummel  Drive-In,Winchester,IN,40.1727903,-84.9230098,Midwest,,,
53549,Highway 18 Outdoor Theater,Jefferson,WI,43.0057014,-88.8483018,Midwest,Jefferson County,,
35960,411 Twin Drive-In and Grill,Centre,AL,34.1709102,-85.7397609,Southeast,,,
35563,Blue Moon Drive-In,Guin,AL,33.9557266,-87.8711995,Southeast,,,
47122,Georgetown Drive-In,Georgetown,IN,38.2965375,-85.9608863,Midwest,,,
28001,Badin Road Drive-In,Albemarle,NC,35.3630487,-80.1573192,Southeast,,,
04756,Skylite Drive-In,Madawaska,ME,47.3433481,-68.3343881,Northeast,,,
24273,Central Drive-In,Norton,VA,36.920395,-82.7050767,Mid-Atlantic,,,
78130,Stars and Stripes Drive-In Theatre,New Braunfels,TX,29.7244767,-98.043839,South Central,,,
37804,Parkway Drive-In,Maryville,TN,35.7578614,-83.9212366,Southeast,,,
54166,Moonlight Outdoor Theater,Shawano,WI,44.7804989,-88.5592698,Midwest,,,
48126,Ford-Wyoming Drive-In,Dearborn,MI,42.3315655,-83.1598322,Midwest,,,
56762,Sky-Vu Drive In,Warren,MN,48.1960793,-96.8031024,Midwest,,,
15946,Bar-Ann Drive-In,Portage,PA,40.3753518,-78.6678012,Mid-Atlantic,,,
92071,Santee Drive-In,Santee,CA,32.8482106,-116.9594228,West,,,
46534,Melody Drive-In,Knox,IN,41.2001187,-86.6039522,Midwest,,,
14760,Portville Drive-In,Portville,NY,42.0514361,-78.3526665,Mid-Atlantic,,,
15320,Skyview Drive-In,Carmichaels,PA,39.8785788,-79.9677411,Mid-Atlantic,,,
55355,Starlite Drive-In,Litchfield,MN,45.1571681,-94.5417913,Midwest,,,
63630,Starlite Drive-In,Cadet,MO,38.0047798,-90.7641346,Midwest,,,
67216,Starlite Drive-In,Wichita,KS,37.624425,-97.31359,Midwest,,,
61021,Midway Drive-In,Sterling,IL,41.8386635,-89.6133566,Midwest,,,
45365,Sidney Auto-Vue Drive-In,Sidney,OH,40.3011316,-84.1743062,Midwest,,,
99114,Auto Vue Drive-In,Colville,WA,48.5847677,-117.9752095,West,,,
04092,Prides Corner Drive-In,Westbrook,ME,43.7239487,-70.3392749,Northeast,,,
83605,Terrace Drive-In,Caldwell,ID,43.6351095,-116.6519701,Mountain,,,
13662,56 Auto Drive-In,Massena,NY,44.8958197,-74.9394395,Mid-Atlantic,,,
30576,Tiger Drive-In,Tiger,GA,34.8510569,-83.432994,Southeast,,,
26431,Sunset Drive-In,Shinnston,WV,39.3587558,-80.3168724,Mid-Atlantic,,,
60518,Route 34 Drive-In,Earlville,IL,41.5805661,-88.9365677,Midwest,,,
37303,Swingin' Midway Drive-In,Athens,TN,35.373343,-84.5562317,Southeast,,,
72560,Stone Drive-In,Mountain View,AR,35.876267,-92.1302774,South Central,,,
44281,Blue Sky Drive-In,Wadsworth,OH,41.0245682,-81.6979271,Midwest,,,
76528,The Last Drive-In Picture Show,Gatesville,TX,31.420971,-97.7155652,South Central,,,
46071,M.E.L.S. at the Starlite Drive-In,Thorntown,IN,40.1657868,-86.4846697,Midwest,,,
79226,Sandell Drive-In,Clarendon,TX,34.9469301,-100.8968315,South Central,,,
18069,Shankweiler's Drive-In,Orefield,PA,40.6450461,-75.5945667,Mid-Atlantic,,,
72650,Kenda Drive-In,Marshall,AR,35.9102971,-92.6618409,South Central,,,
13021,Finger Lakes Drive-In,Aurelius,NY,42.933116,-76.6559055,Mid-Atlantic,,,
66071,Midway Drive-In,Paola,KS,38.5335625,-94.9295435,Midwest,,,
46176,The Skyline Drive-In,Shelbyville,IN,39.5005566,-85.7025632,Midwest,,,
67454,Kanopolis Drive-In,Kanopolis,KS,38.7183842,-98.1587029,Midwest,,,
45883,Starlight Auto Theatre,Saint Henry,OH,40.4043705,-84.5703782,Midwest,,,
57533,Hilltop Drive-Inn Theatre,Gregory,SD,43.22748,-99.4728051,Midwest,,,
92277,Smith's Ranch Drive-In,Twentynine Palms,CA,34.1692124,-116.0567634,West,,,
84647,Basin Drive-In,Mount Pleasant,UT,39.556078,-111.454306,Mountain,,,
